,,,,,,,,,,, 
,TIBC,,,,250 - 350,250,Normal,,,,
,TIBC,,,,,351,High,TRUE,"Hemachromatosis, too much iron in supplements, deficient in vitamin E, B-6, folic acid, copper and/or vitamin C.",,
,Transferrin,200 - 360,200,360,,0,Low,TRUE,"Anemia, excessive acidity/low zeta potential,  protein malnutrition, causes fever, lack of energy, diminished body functions. Tx:  Correlate with iron numbers and Anemia flowchart.",It compares the amount of iron in the blood stream to the capacity of the red blood cells to transport iron.,
,Transferrin,,,,200 - 360,200,Normal,,,,
,Transferrin,,,,,361,High,TRUE,"Hemachromatosis, too much iron in supplements, deficient in vitamin E, B-6, folic acid, copper and/or vitamin C.",,
,Transferrin Saturation (%),12 - 45,12,45,,0,Low,TRUE,"Anemia, excessive acidity/low zeta potential,  protein malnutrition, causes fever, lack of energy, diminished body functions. Tx:  Correlate with iron numbers and Anemia flowchart.",It compares the amount of iron in the blood to the capacity of the blood to transport iron in percentage.,
,Transferrin Saturation (%),,,,12 - 45,12,Normal,,,,
,Transferrin Saturation (%),,,,,46,High,TRUE,"Hemachromatosis, too much iron in supplements, deficient in vitamin E, B-6, folic acid, copper and/or vitamin C.",,
,Total Cholesterol (Male 18-34 yrs old),180 - 220,180,220,,0,Low,TRUE,"Hyperthyroidism, protein malnutrition,  alcoholism  excesss carbs, causes excess cellular mutation.

Under 150 fasting is an ominous marker.","Fats that are made into hormones, enzymes & antibodies, lining of arterial walls and vitamin D.  Make up 60% of brain tissue.  This is an effective measure of liver function, intestinal absorption, and cardiovascular disease.",
,Total Cholesterol (Male 18-34 yrs old),,,,180 - 220,180,Normal,,,,
,Total Cholesterol (Male 18-34 yrs old),,,,,221,High,TRUE,"Diabetes, Leaky gut, Low gender hormones, Excess mitochondrial  stress, low vitamin levels, smoking. ",,
,Total Cholesterol (Male 35 yrs old & above),210 - 249,210,249,,0,Low,TRUE,"Hyperthyroidism, protein malnutrition,  alcoholism  excesss carbs, causes excess cellular mutation.

Under 150 fasting is an ominous marker.","Fats that are made into hormones, enzymes & antibodies, lining of arterial walls and vitamin D.  Make up 60% of brain tissue.  This is an effective measure of liver function, intestinal absorption, and cardiovascular disease.",
,Total Cholesterol (Male 35 yrs old & above),,,,,210,Normal,,,,
,Total Cholesterol (Male 35 yrs old & above),,,,,250,High,TRUE,"Diabetes, Leaky gut, Low gender hormones, Excess mitochondrial  stress, low vitamin levels, smoking. ",,
,Total Cholesterol (Female 18-34 yrs old),160 - 199,160,199,,0,Low,TRUE,"Hyperthyroidism, protein malnutrition,  alcoholism  excesss carbs, causes excess cellular mutation.

Under 150 fasting is an ominous marker.","Fats that are made into hormones, enzymes & antibodies, lining of arterial walls and vitamin D.  Make up 60% of brain tissue.  This is an effective measure of liver function, intestinal absorption, and cardiovascular disease.",
,Total Cholesterol (Female 18-34 yrs old),,,,160 - 199,160,Normal,,,,
,Total Cholesterol (Female 18-34 yrs old),,,,,200,High,TRUE,"Diabetes, Leaky gut, Low gender hormones, Excess mitochondrial  stress, low vitamin levels, smoking. ",,
,Total Cholesterol (Female 35-44 yrs old),180 - 220,180,220,,0,Low,TRUE,"Hyperthyroidism, protein malnutrition,  alcoholism  excesss carbs, causes excess cellular mutation.

Under 150 fasting is an ominous marker.","Fats that are made into hormones, enzymes & antibodies, lining of arterial walls and vitamin D.  Make up 60% of brain tissue.  This is an effective measure of liver function, intestinal absorption, and cardiovascular disease.",
,Total Cholesterol (Female 35-44 yrs old),,,,180 - 220,180,Normal,,,,
,Total Cholesterol (Female 35-44 yrs old),,,,,221,High,TRUE,"Diabetes, Leaky gut, Low gender hormones, Excess mitochondrial  stress, low vitamin levels, smoking. ",,
,Total Cholesterol (Female 45 yrs old & above),210 - 249,210,249,,0,Low,TRUE,"Hyperthyroidism, protein malnutrition,  alcoholism  excesss carbs, causes excess cellular mutation.

Under 150 fasting is an ominous marker.","Fats that are made into hormones, enzymes & antibodies, lining of arterial walls and vitamin D.  Make up 60% of brain tissue.  This is an effective measure of liver function, intestinal absorption, and cardiovascular disease.",
,Total Cholesterol (Female 45 yrs old & above),,,,,210,Normal,,,,
,Total Cholesterol (Female 45 yrs old & above),,,,,250,High,TRUE,"Diabetes, Leaky gut, Low gender hormones, Excess mitochondrial  stress, low vitamin levels, smoking. ",,
,Triglycerides,75 - 100,75,100,,0,Low,TRUE,"Nerves & stress related, protein malnutrition, excessive use of bran & niacin, low unsaturated fatty acids.  Hyperthyroidism.",Are major building blocks of very low density lipoproteins (VLDL) and play an important role in metabolism as energy sources and transporters of dietary fat.,
,Triglycerides,,,,75 - 100,75,Normal,,,,
,Triglycerides,,,,,101,High,TRUE,"Mitochondria have switched from fat burning to sugar burning.  Dysinsulin., Sugar /Carb overload, stress related, increase risk of heart and small vessel diseases, poor exercise habits.",,
,HDL “Good” Cholesterol,56 - 79,56,79,,0,Low,TRUE,"Associated with angina pectoris and myocardial infarction, diabetes, Leaky Gut causation, low Vitamin D","The ""good"" cholesterol, it carries cholesterol away from your arteries to your liver.",
,HDL “Good” Cholesterol,,,,56 - 79,56,Normal,,,,
,HDL “Good” Cholesterol,,,,,80,High,TRUE,"Autoimmune cond., chronic liver disease",,
,Triglyceride / HDL ratio,2,0,2,2,0,Normal,,,Triglyceride / HDL (TG / HDL) ratio is a calculated measure that can help assess your risk of heart disease and metabolic syndrome.,
,Triglyceride / HDL ratio,,,,,2.1,High,TRUE,Insulin Resistance,,
,LDL Cholesterol (under 35 yrs old),<120,0,119,<120,0,Normal,,,"The ""bad” cholesterol, responsible for plaque build-up in the arteries.  stabilizes the inner mitochondrial membrane during heavy cellular energy production = more ATP.",
,LDL Cholesterol (under 35 yrs old),,,,,120,High,TRUE,As with Cholesterol/Triglycerides,,
,LDL Cholesterol (35 yrs old & above),120 - 150,120,150,,0,Low,TRUE,,"The ""bad” cholesterol, responsible for plaque build-up in the arteries.  stabilizes the inner mitochondrial membrane during heavy cellular energy production = more ATP.",
,LDL Cholesterol (35 yrs old & above),,,,120 - 150,120,Normal,,,,
,LDL Cholesterol (35 yrs old & above),,,,,151,High,TRUE,As with Cholesterol/Triglycerides,,
,sdLDL,<30,0,29,,0,Normal,,,"Small dense LDL, stays in circulation longer, more easily oxidized and can invade arterial walls easier.",
,sdLDL,,,,,30,Moderate,,"Increase chance of cardiovascular disease and progression of disease, Stagnant liver function.",,
,sdLDL,,,,,51,High,TRUE,"Increase chance of cardiovascular disease and progression of disease, Stagnant liver function.",,
,Apo A-1,108 - 225,108,225,,0,Low,TRUE,,Mediates reverse cholesterol transport by returning excess cholesterol from peripheral tissue to the liver.,
,Apo A-1,,,,108 - 225,108,Normal,,,,
,Apo A-1,,,,,226,High,TRUE,Excess cholesterol accumulates in peripheral tissue.,,
,Apo B,80 - 100,80,100,,0,Low,TRUE,,Considered a direct measure of atherogenic lipoproteins.,
,Apo B,,,,80 - 100,80,Normal,,,,
,Apo B,,,,,101,High,TRUE,"Heart disease, atherosclerosis, metabolic disease, diabetes",,
,Lp(a),<30,0,29,<30,0,Normal,,,Most powerful genetic risk factor for cardiovascular disease.,
,Lp(a),,,,,30,High,TRUE,"Stable risk factor for coronary artery disease, peripheral vascular disease, stroke and abdominal aortic aneuryism",,
,Total Creatine ,0.7 - 1.1,0.7,1.1,,0,Low,TRUE,"Exhaustion of the ATP creatine system, hypomethylation.","Enzyme chiefly found in the brain, skeletal muscles, and heart. Functions in cellular energy metabolism.  Part of the ATP creatine system (fastest way to make ATP) without oxygen but is dependent on methylation.  Used up in first burst of exercise.",
,Total Creatine ,,,,0.7 - 1.1,0.7,Normal,,,,
,Total Creatine ,,,,,1.2,High,TRUE,"Muscle damage, hormonal disorders, kidney disease, seizures, infections, connective tissue disease, celiac disease.",,
,Glucose,85 - 100,85,100,,0,Low,TRUE,"Hypoglycemia, hypothyroidism, excessive insulin output, protein malnutrition.","The body’s chief source of energy. It affects all organs, systems and tissues.  It helps determine the acid/alkaline balance (pH). ",
,Glucose,,,,85 - 100,85,Normal,,,,
,Glucose,,,,,101,High,TRUE,"Hyperglycemic tendency toward diabetes, lack of exercise, low thiamine, questionable diet.

Diabetes",,
,Insulin,3 - 9,3,9,,0,Low,TRUE,"Pancreas Dysfunction, type 1 diabetes, autoimmune disease",Hormones from the pancreas that acts to take sugar out the blood stream and enter it into cells for energy production.,
,Insulin,,,,3 - 9,3,Normal,,,,
,Insulin,,,,,10,High,TRUE,"Insulin resistance, becomes inflammatory and toxic",,
,HbA1C,4.8 - 5.4,4.8,5.4,,0,Low,TRUE,,Measures blood glucose that has attached itself to hemoglobin.  This test more accurately measures glucose levels over the two-three weeks prior to the blood test.,
,HbA1C,,,,4.8 - 5.4,4.8,Normal,,,,
,HbA1C,,,,,5.5,High,TRUE,,,
,Adiponectin,7 - 24.2,7,24.2,,0,Low,TRUE,"High level of visceral obesity, slow metabolism.",Regulates glucose and fatty acid breakdown.,
,Adiponectin,,,,7 - 24.2,7,Normal,,,,
,Adiponectin,,,,,24.3,High,TRUE,"Low utilization and sensitivity to hormones in the periphery, including insulin and leptin resistance.",,
,Leptin,<20,0,20,<20,0,Normal,,,Hormone secreted from fat and nerve cells to signal to the brain satiety.  Involved in keeping energy balances between the brain and body.,
,Leptin,,,,,20,High,TRUE,"Biotoxic illness, cytokine based inflammation, mold poisoning, lyme disease, obesity, hypothalamus dysfunction, Sympathetic dominance.",,
,MSH,>20,21,9999,,0,Low,TRUE,"Severe

Energy dysregulation, fatty acid imbalances, altered sunlight/indoor light balances","Helps your skin tan, Increase endorphins, Needed for gut integrity, kills staph and candida, Insulin sensitivity, collagen production, needed for thyroid function.",
,MSH,,,,,15,Low,TRUE,"Energy dysregulation, fatty acid imbalances, altered sunlight/indoor light balances",,
,MSH,,,,,21,Normal,,,,
,Ferritin (Male),20 - 100,20,100,,0,Low,TRUE,Iron- deficiency anemia,The most sensitive test to detect iron deficiency. Main storage form of iron in the body.  ,
,Ferritin (Male),,,,20 - 100,20,Normal,,,,
,Ferritin (Male),,,,,101,High,TRUE,"Hemochromatosis(excess absorption of iron), acute malnourishment, infection, anoxia, acute phase inflammatory marker, iron mediated cell death, fatty acid deficiency.",,
,Ferritin (Female),20 - 80,20,80,,0,Low,TRUE,Iron- deficiency anemia,The most sensitive test to detect iron deficiency. Main storage form of iron in the body.  ,
,Ferritin (Female),,,,20 - 80,20,Normal,,,,
,Ferritin (Female),,,,,81,High,TRUE,"Hemochromatosis(excess absorption of iron), acute malnourishment, infection, anoxia, acute phase inflammatory marker, iron mediated cell death, fatty acid deficiency.",,
,Calcium,9.5 - 10,9.5,10,,0,Low,TRUE,"Pregnancy, osteoporosis, low thyroid/parathyroid  gland malfunction. Malnutrition, vitamin D deficiency","About bone metabolism: the most important element in the body.  Maintains cardiac regularity & is required for muscle relaxation & contraction; necessary for enzyme production; growth and development of teeth, bones, & resistance to infection.  ",
,Calcium,,,,9.5 - 10,9.5,Normal,,,,
,Calcium,,,,,10.1,High,TRUE,"Excess Vitamin D use, excessive intake of milk, protein, antacids, or alcohol, bone disorders, possibility of calcium not being absorbed, lack of exercise or Possible thyroid/parathyroid gland malfunction.",,
,Albumin,4 - 5,4,5,,0,Low,TRUE,"Malnutrition, excess water in system, liver/kidney problems, Vit C deficiency, hyperthyroidism, heavy aspirin use.","Albumin is a major constituent of blood proteins. It is produced mainly in the liver, where it plays a major role in distributing water and serving as a transport protein for hormones and various drugs. It is also responsible for about 80% of fluid pressure and blood vessel condition.",
,Albumin,,,,4 - 5,4,Normal,,,,
,Albumin,,,,,5.1,High,TRUE,"Dehydration, protein overload or absorption, hypothyroidism.",,
,Parathyroid Hormone,15 - 65,15,65,,0,Low,TRUE,"Hypoparathyroid disease, Calcium imbalances (typically high)",Secreted by the parathyroid and involved in bone metabolism and calcium homeostasis.,
,Parathyroid Hormone,,,,15 - 65,15,Normal,,,,
,Parathyroid Hormone,,,,,66,High,TRUE,"Hyperparathyroid disease, Heavy metals as a cause, radiation/emf exposure as a cause, calcium imbalances (typically low)",,
,25-HYDROXY –Vitamin D,>44,45,9999,,0,Low,TRUE,"Deficient.
Fatigue, General muscle pain and weakness, Muscle cramps, Joint pain, Chronic pain, Mood Swings and Depression, Weight gain, High blood pressure, Restless sleep, Poor concentration, Headaches, Bladder problems, Constipation or diarrhea and weak immune system. Rickets in children.","Use to diagnose vitamin D insufficiency and proxy for UV light expsosure. 
Controls the level of phosphate and calcium in blood, Regulates bone health,  Invigorates the immune system,  Regulates neuromuscular functions, Plays a vital role in cardiovascular functions,  Balances blood sugar level and insulin production, Promotes normal cellular growth.",
,25-HYDROXY –Vitamin D,,,,,10,Low,TRUE,"Insufficiency.
Fatigue, General muscle pain and weakness, Muscle cramps, Joint pain, Chronic pain, Mood Swings and Depression, Weight gain, High blood pressure, Restless sleep, Poor concentration, Headaches, Bladder problems, Constipation or diarrhea and weak immune system. Rickets in children.",,
,25-HYDROXY –Vitamin D,,,,,45,Normal,,Sufficient,,
,Magnesium,2.0 - 2.5,2,2.5,,0,Low,TRUE,"Supplement use, malnutrition, alcoholism, and excessive use of diuretics.  ","Important for many different enzymatic reactions such as carbohydrate metabolism, protein synthesis, nucleic acid synthesis, muscular contraction, oxidative phosphorylation, ATP production, and is used by the body in the blood clotting mechanism. Critical to smooth muscle function, including heart, gastrointestinal tract and uterus; helps regulate acid-alkaline (base) balance in the body. Aids in absorption and metabolism of minerals such as calcium, phosphorus, sodium, and potassium; also utilization of vitamin B complex, C, and E. Regulates body temperature.
",
,Magnesium,,,,2.0 - 2.5,2,Normal,,,,
,Magnesium,,,,,2.6,High,TRUE,"Low adrenal, renal dysfunction., low thyroid, infection",,
,Sodium,135 - 140,135,140,,0,Low,TRUE,"Low adrenal, low salt diet, lack of trace minerals, loss of fluids & loss of sodium in diarrhea or vomit.","Sodium constitutes 90% of the electrolyte fluid facilitating cellular transport. It also acts as the main base of the blood and functions in maintaining osmotic pressure, aiding in nerve impulse transmission, as well as renal, cardiac, and adrenal functions. Essential to acid-base balance and intra/extra cellular fluid exchanges for normal body water ",
,Sodium,,,,135 - 140,135,Normal,,,,
,Sodium,,,,,141,High,TRUE,"Renal problems, water softeners, high sodium-salt diet, low water intake, relates to toxins, headaches, weak back muscles, low potassium levels, fluid imbalance and lack of physical activity.",,
,Potassium,4.0 - 4.5,4,4.5,,0,Low,TRUE,"Tissue destruction, Hi adrenal, renal problems, diabetes, tendency toward weak heart, alcohol related, folic acid deficiency, low fluid intake, low  potassium intake, low vegetable and fruit intake.","Essential to heart & kidney function and the maintenance of pH of both blood & urine. It maintains regular heart rate and muscle force, thus helps to prevents heart and general muscle fatigue.  Excreted by the kidneys daily.",
,Potassium,,,,4.0 - 4.5,4,Normal,,,,
,Potassium,,,,,4.6,High,TRUE,"Low adrenal, dehydration, low kidney function, overuse of potassium supplements, relates to congestive heart failure and renal failure, low vitamin  E, insufficient exercise and deep breathing.",,
,Chloride,100 - 106,100,106,,0,Low,TRUE,"Low adrenal, low renal function, B12 deficiency, susceptible to infections, tendency toward colitis, bladder dysfunction.","Indicates kidney, bladder, and bowel function.  Essential for electrolyte balance and pH maintenance.  ",
,Chloride,,,,100 - 106,100,Normal,,,,
,Chloride,,,,,107,High,TRUE,"Ht adrenal, excess salt, renal dysfunction, high salt intake, severe dehydration, could relate to bowel dysfunction, insufficient green vegetables, liver malfunction, magnesium deficiency",,
,Carbon Dioxide,25 - 30,25,30,,0,Low,TRUE,Acidosis can result in serious illness or kidney disease. Possible Pancreas and/or gall bladder dysfunction. Can indicate decreased mitochondrial activity.  ,Bicarbonate is a vital component of controlling the pH of the body.  Byproduct of mitochondria energy production using oxygen.,
,Carbon Dioxide,,,,25 - 30,25,Normal,,,,
,Carbon Dioxide,,,,,31,High,TRUE,Alkalosis most commonly seen with lung disease or emphysema,,
,BUN,13 - 18,13,18,,0,Low,TRUE,"Pregnancy, low protein or protein malnutrition, heavy smoking, tendency towards diabetes.","Reflects the ratio between the production and clearance of urea. Urea, which is formed in the liver, is the final product in protein catabolism. Reveals the degree of toxicity of protein to the kidneys.  ",
,BUN,,,,13 - 18,13,Normal,,,,
,BUN,,,,,19,High,TRUE,"Renal problems, dehydration, hypochlorydria, (Lack of stomach acid),  high  protein diet, stress, liver, thyroid, parathyroid imbalance, kidney obstruction (stones), low vitamin A, C, E, potassium, abnormal blood loss.",,
,Total Protein,6.9 - 7.4,6.9,7.4,,0,Low,TRUE,"Incomplete protein digestion, poor nutrition, vitamin B, D, and zinc deficiency.","Necessary for tissue function, growth, & repair. Fluid balance, protection against infection.  Key building block of the human body.",
,Total Protein,,,,6.9 - 7.4,6.9,Normal,,,,
,Total Protein,,,,,7.5,High,TRUE,"Indicates incomplete assimilation or non-use of protein, dehydration or loss of fluid.",,
,Creatinine,0.5 - 0.9,0.5,0.9,,0,Low,TRUE,"Muscle Wasting, Pregnancy, bone growth, over stress to kidney (heavy coffee, tea, alcohol), too much vitamin C, compulsive exercise, methylation dysfunction.","A waste product produced by muscles, which is removed by the kidneys.  Also related to the methylation system.",
,Creatinine,,,,0.5 - 0.9,0.5,Normal,,,,
,Creatinine,,,,,1,High,TRUE,"Dehydration, renal problems, prostate enlarge. indicates muscle breakdown to supply protein, high ingestion of meats, kidney distress, methylation dysfunction.",,
,Cystatin C,<= 0.95,0,0.95,<= 0.95,0,Normal,,,Biomarker of kidney function.,
,Cystatin C,,,,,0.96,High,TRUE,"Correlates with GFR for kidney disease, high blood pressure and heart disease.",,
,eGFR,>89,90,9999,,0,Low,TRUE,"Stage 2 89-60, Stage 3A 59-45, Stage 3B 44-30, Stage 4 29-15, Stage 5 <15","Used to screen for and detect early kidney damage, to help diagnose kidney disease, and monitor kidney status.",
,eGFR,,,,>89,90,Normal,,,,
,eGFR (African-American),>89,90,9999,,0,Low,TRUE,"Stage 2 89-60, Stage 3A 59-45, Stage 3B 44-30, Stage 4 29-15, Stage 5 <15","Used to screen for and detect early kidney damage, to help diagnose kidney disease, and monitor kidney status.",
,eGFR (African-American),,,,>89,90,Normal,,,,
,BUN/Creatinine Ratio,10 - 16,10,16,,0,Low,TRUE,"Low protein/high carbohydrate diet, deficiency of anti-diuretic hormone (using a diuretic","Relates to kidney removal of water, protein, and tissue residue.  Mitochondrial production of EZ water.",
,BUN/Creatinine Ratio,,,,10 - 16,10,Normal,,,,
,BUN/Creatinine Ratio,,,,,17,High,TRUE,"EMF, Mitochondrial dysfunction, High protein, low water intake, indicates a tendency toward gastrointestinal tract hemorrhage, calcium loss from bone & calcification of soft tissue, low calcium/phosphorous ratio.",,
,ALT (GPT),10 - 26,10,26,,0,Low,TRUE,Low B6 levels,"An enzyme associated with the liver, heart, and skeletal muscle.",
,ALT (GPT),,,,10 - 26,10,Normal,,,,
,ALT (GPT),,,,,27,High,TRUE,"Liver dysfunction,  alcohol and drug related, vitamin A and/or C deficiency.",,
,AST (GOT),10 - 26,10,26,,0,Low,TRUE,Low B6 levels and magnesium deficiency,"Relates to liver enzyme activity, kidney & skeletal muscle.  ",
,AST (GOT),,,,10 - 26,10,Normal,,,,
,AST (GOT),,,,,27,High,TRUE,"Allergies, vitamin E deficiency, arthritic in nature, liver complications, heart or muscle problems.",,
,Gamma GT (GGT) (Male),<16,0,15,,0,Normal,,"Low B6 levels and copper, hypothyroid,  low magnesium.","Liver damage, biliary obstruction of bile ducts.  Low antioxidant levels, Accurate predictor of mortality.  More dangerous if combined with high ferritin.",
,Gamma GT (GGT) (Male),,,,,16,High,TRUE,"Alcoholism, bile obstruction, Viral hepatitis.

Dangerous paired with High Ferritin. Antioxidant depletion.",,
,Gamma GT (GGT) (Male),,,,,27,High,TRUE,"High risk. Alcoholism, bile obstruction, Viral hepatitis.

Dangerous paired with High Ferritin. Antioxidant depletion.",,
,Gamma GT (GGT) (Female),<9,0,8,,0,Normal,,"Low B6 levels and copper, hypothyroid,  low magnesium.","Liver damage, biliary obstruction of bile ducts.  Low antioxidant levels, Accurate predictor of mortality.  More dangerous if combined with high ferritin.",
,Gamma GT (GGT) (Female),,,,,9,High,TRUE,"Alcoholism, bile obstruction, Viral hepatitis.

Dangerous paired with High Ferritin. Antioxidant depletion.",,
,Gamma GT (GGT) (Female),,,,,19,High,TRUE,"High risk. Alcoholism, bile obstruction, Viral hepatitis.

Dangerous paired with High Ferritin. Antioxidant depletion.",,
,Alkaline Phosphatase,70 - 100,70,100,,0,Low,TRUE,"Zinc deficiency, Protein malnutrition, vitamin C, folic acid, and, possible hypoglycemia.","Refers to a group of isoenzymes that are found in the bone, liver, intestines, skin, and placenta.  Indicates how the liver is utilizing protein and fats, and pH balance.  (an enzyme found essentially in bone & liver.)",
,Alkaline Phosphatase,,,,70 - 100,70,Normal,,,,
,Alkaline Phosphatase,,,,,101,High,TRUE,"Bone growth(,possible decalcification of bone) liver dysfunction ., gastric inflammation., tendency toward arthritis, insufficient calcium/phosphorus, could relate to certain medications, bile duct obstruction, or alcohol related.",,
,Total Bilirubin,0.2 - 1.2,0.2,1.2,,0,Low,TRUE,"Iron deficiency, anemia, vitamin B-12, C, and copper deficiency.",Bilirubin is the end product of hemoglobin breakdown from red blood cells.,
,Total Bilirubin,,,,0.2 - 1.2,0.2,Normal,,,,
,Total Bilirubin,,,,,1.3,High,TRUE,"Advanced red blood cell breakdown, Fat malabsorption & increased risk of cardiovascular disease, possible lymphatic problems, vitamin C deficiency; potential liver disease or Gall bladder dysfunction. Spleen Dysfunction",,
,Direct Bilirubin,<0.3,0,0.29,<0.3,0,Normal,,,The most sensitive test for liver function/dysfunction.,
,Direct Bilirubin,,,,,0.3,High,TRUE,"Possible problem with liver cells, disease.",,
,TSH,1.0 - 3.0,1,3,,0,Low,TRUE,Hyperthyroid symptoms (if less than 0.5),A pituitary gland hormone that stimulates the thyroid gland to secrete additional T4 and some T3,
,TSH,,,,1.0 - 3.0,1,Normal,,,,
,TSH,,,,,3.1,High,TRUE,Hypothyroid symptoms ,,
,"T4, TOTAL",6 - 12,6,12,,0,Low,TRUE,Hypothyroid symptoms,Reflects the total output of the thyroid gland and actual T4 hormone released.,
,"T4, TOTAL",,,,6 - 12,6,Normal,,,,
,"T4, TOTAL",,,,,13,High,TRUE,Hyperthyroid symptoms,,
,"T4, free",1.0 – 1.5 ,1,1.5,,0,Low,TRUE,Hypothyroid symptoms,"The measure of active T4 in the blood but, must be converted to T3 to impact metabolism.",
,"T4, free",,,,1.0 – 1.5 ,1,Normal,,,,
,"T4, free",,,,,1.6,High,TRUE,Hyperthyroid symptoms,,
,"T3, TOTAL",60-180,60,180,,0,Low,TRUE,Hypothyroid symptoms,T3 is the most active thyroid hormone which is largely protein–bound but not necessarily available for metabolic activity,
,"T3, TOTAL",,,,60-180,60,Normal,,,,
,"T3, TOTAL",,,,,181,High,TRUE,Hyperthyroid symptoms,,
,"T3, free",3.5 – 4.5 ,3.5,4.5,,0,Low,TRUE,Hypothyroid symptoms,"This test measures the free or active T3 hormone (unbound) levels, which is the actual hormones that culminates in an increase in metabolism and energy.",
,"T3, free",,,,3.5 – 4.5 ,3.5,Normal,,,,
,"T3, free",,,,,4.6,High,TRUE,Hyperthyroid symptoms,,
,TPO AB,0-34,0,34,0-34,0,Normal,,,Check in cases of autoimmune thyroid disorders. ,
