,,,,,,,,,,,, 
,Ferritin (Female),20 - 80,,,,,,The most sensitive test to detect iron deficiency. Main storage form of iron in the body.  ,104,,,
,,,,,,,,,,,,
 , Lipids,,,,,,,,,,,
,Marker,Target Range,Value,Delta from Target,Evaluation,,Weakness / Possibilities,Marker Description,Header Row,Row Match,Highlight,
,Total Cholesterol (Male 18-34 yrs old),180 - 220,,,,,,"Fats that are made into hormones, enzymes & antibodies, lining of arterial walls and vitamin D.  Make up 60% of brain tissue.  This is an effective measure of liver function, intestinal absorption, and cardiovascular disease.",42,,,
,Total Cholesterol (Male 35 yrs old & above),210 - 249,,,,,,"Fats that are made into hormones, enzymes & antibodies, lining of arterial walls and vitamin D.  Make up 60% of brain tissue.  This is an effective measure of liver function, intestinal absorption, and cardiovascular disease.",45,,,
,Total Cholesterol (Female 18-34 yrs old),160 - 199,,,,,,"Fats that are made into hormones, enzymes & antibodies, lining of arterial walls and vitamin D.  Make up 60% of brain tissue.  This is an effective measure of liver function, intestinal absorption, and cardiovascular disease.",48,,,
,Total Cholesterol (Female 35-44 yrs old),180 - 220,,,,,,"Fats that are made into hormones, enzymes & antibodies, lining of arterial walls and vitamin D.  Make up 60% of brain tissue.  This is an effective measure of liver function, intestinal absorption, and cardiovascular disease.",51,,,
,Total Cholesterol (Female 45 yrs old & above),210 - 249,,,,,,"Fats that are made into hormones, enzymes & antibodies, lining of arterial walls and vitamin D.  Make up 60% of brain tissue.  This is an effective measure of liver function, intestinal absorption, and cardiovascular disease.",54,,,
,Triglycerides,75 - 100,,,,,,Are major building blocks of very low density lipoproteins (VLDL) and play an important role in metabolism as energy sources and transporters of dietary fat.,57,,,
,HDL “Good” Cholesterol,56 - 79,,,,,,"The ""good"" cholesterol, it carries cholesterol away from your arteries to your liver.",60,,,
,Triglyceride / HDL ratio,2.0,,,,,,Triglyceride / HDL (TG / HDL) ratio is a calculated measure that can help assess your risk of heart disease and metabolic syndrome.,63,,,
,LDL Cholesterol (under 35 yrs old),<120,,,,,,"The ""bad” cholesterol, responsible for plaque build-up in the arteries.  stabilizes the inner mitochondrial membrane during heavy cellular energy production = more ATP.",65,,,
,LDL Cholesterol (35 yrs old & above),120 - 150,,,,,,"The ""bad” cholesterol, responsible for plaque build-up in the arteries.  stabilizes the inner mitochondrial membrane during heavy cellular energy production = more ATP.",67,,,
,sdLDL,<30,,,,,,"Small dense LDL, stays in circulation longer, more easily oxidized and can invade arterial walls easier.",70,,,
,Apo A-1,108 - 225,,,,,,Mediates reverse cholesterol transport by returning excess cholesterol from peripheral tissue to the liver.,73,,,
,Apo B,80 - 100,,,,,,Considered a direct measure of atherogenic lipoproteins.,76,,,
,Lp(a),<30,,,,,,Most powerful genetic risk factor for cardiovascular disease.,79,,,
,Total Creatine ,0.7 - 1.1,,,,,,"Enzyme chiefly found in the brain, skeletal muscles, and heart. Functions in cellular energy metabolism.  Part of the ATP creatine system (fastest way to make ATP) without oxygen but is dependent on methylation.  Used up in first burst of exercise.",81,,,
,,,,,,,,,,,,
 , Diabetes & Weight Management,,,,,,,,,,,
,Marker,Target Range,Value,Delta from Target,Evaluation,,Weakness / Possibilities,Marker Description,Header Row,Row Match,Highlight,
,Glucose,85 - 100,,,,,,"The body’s chief source of energy. It affects all organs, systems and tissues.  It helps determine the acid/alkaline balance (pH). ",84,,,
,Insulin,3 - 9,,,,,,Hormones from the pancreas that acts to take sugar out the blood stream and enter it into cells for energy production.,87,,,
,HbA1C,4.8 - 5.4,,,,,,Measures blood glucose that has attached itself to hemoglobin.  This test more accurately measures glucose levels over the two-three weeks prior to the blood test.,90,,,
,Adiponectin,7 - 24.2,,,,,,Regulates glucose and fatty acid breakdown.,93,,,
,Leptin,<20,,,,,,Hormone secreted from fat and nerve cells to signal to the brain satiety.  Involved in keeping energy balances between the brain and body.,96,,,
,MSH,>20,,,,,,"Helps your skin tan, Increase endorphins, Needed for gut integrity, kills staph and candida, Insulin sensitivity, collagen production, needed for thyroid function.",98,,,
,,,,,,,,,,,,
 ," Calcium, Bone & Mineral Health",,,,,,,,,,,
,Marker,Target Range,Value,Delta from Target,Evaluation,,Weakness / Possibilities,Marker Description,Header Row,Row Match,Highlight,
,Calcium,9.5 - 10,,,,,,"About bone metabolism: the most important element in the body.  Maintains cardiac regularity & is required for muscle relaxation & contraction; necessary for enzyme production; growth and development of teeth, bones, & resistance to infection.  ",107,,,
,Albumin,4 - 5,,,,,,"Albumin is a major constituent of blood proteins. It is produced mainly in the liver, where it plays a major role in distributing water and serving as a transport protein for hormones and various drugs. It is also responsible for about 80% of fluid pressure and blood vessel condition.",110,,,
,Parathyroid Hormone,15 - 65,,,,,,Secreted by the parathyroid and involved in bone metabolism and calcium homeostasis.,113,,,
,25-HYDROXY –Vitamin D,>44,,,,,,"Use to diagnose vitamin D insufficiency and proxy for UV light expsosure. 
Controls the level of phosphate and calcium in blood, Regulates bone health,  Invigorates the immune system,  Regulates neuromuscular functions, Plays a vital role in cardiovascular functions,  Balances blood sugar level and insulin production, Promotes normal cellular growth.",116,,,
,Magnesium,2.0 - 2.5,,,,,,"Important for many different enzymatic reactions such as carbohydrate metabolism, protein synthesis, nucleic acid synthesis, muscular contraction, oxidative phosphorylation, ATP production, and is used by the body in the blood clotting mechanism. Critical to smooth muscle function, including heart, gastrointestinal tract and uterus; helps regulate acid-alkaline (base) balance in the body. Aids in absorption and metabolism of minerals such as calcium, phosphorus, sodium, and potassium; also utilization of vitamin B complex, C, and E. Regulates body temperature.
",119,,,
,,,,,,,,,,,,
 , Renal,,,,,,,,,,,
,Marker,Target Range,Value,Delta from Target,Evaluation,,Weakness / Possibilities,Marker Description,Header Row,Row Match,Highlight,
,Sodium,135 - 140,,,,,,"Sodium constitutes 90% of the electrolyte fluid facilitating cellular transport. It also acts as the main base of the blood and functions in maintaining osmotic pressure, aiding in nerve impulse transmission, as well as renal, cardiac, and adrenal functions. Essential to acid-base balance and intra/extra cellular fluid exchanges for normal body water ",122,,,
,Potassium,4.0 - 4.5,,,,,,"Essential to heart & kidney function and the maintenance of pH of both blood & urine. It maintains regular heart rate and muscle force, thus helps to prevents heart and general muscle fatigue.  Excreted by the kidneys daily.",125,,,
,Chloride,100 - 106,,,,,,"Indicates kidney, bladder, and bowel function.  Essential for electrolyte balance and pH maintenance.  ",128,,,
,Carbon Dioxide,25 - 30,,,,,,Bicarbonate is a vital component of controlling the pH of the body.  Byproduct of mitochondria energy production using oxygen.,131,,,
,BUN,13 - 18,,,,,,"Reflects the ratio between the production and clearance of urea. Urea, which is formed in the liver, is the final product in protein catabolism. Reveals the degree of toxicity of protein to the kidneys.  ",134,,,
,Total Protein,6.9 - 7.4,,,,,,"Necessary for tissue function, growth, & repair. Fluid balance, protection against infection.  Key building block of the human body.",137,,,
,Creatinine,0.5 - 0.9,,,,,,"A waste product produced by muscles, which is removed by the kidneys.  Also related to the methylation system.",140,,,
,Cystatin C,<= 0.95,,,,,,Biomarker of kidney function.,143,,,
,eGFR,>89,,,,,,"Used to screen for and detect early kidney damage, to help diagnose kidney disease, and monitor kidney status.",145,,,
,eGFR (African-American),>89,,,,,,"Used to screen for and detect early kidney damage, to help diagnose kidney disease, and monitor kidney status.",147,,,
,BUN/Creatinine Ratio,10 - 16,,,,,,"Relates to kidney removal of water, protein, and tissue residue.  Mitochondrial production of EZ water.",149,,,
,,,,,,,,,,,,
 , Hepatic,,,,,,,,,,,
,Marker,Target Range,Value,Delta from Target,Evaluation,,Weakness / Possibilities,Marker Description,Header Row,Row Match,Highlight,
,ALT (GPT),10 - 26,,,,,,"An enzyme associated with the liver, heart, and skeletal muscle.",152,,,
,AST (GOT),10 - 26,,,,,,"Relates to liver enzyme activity, kidney & skeletal muscle.  ",155,,,
,Gamma GT (GGT) (Male),<16,,,,,,"Liver damage, biliary obstruction of bile ducts.  Low antioxidant levels, Accurate predictor of mortality.  More dangerous if combined with high ferritin.",158,,,
,Gamma GT (GGT) (Female),<9,,,,,,"Liver damage, biliary obstruction of bile ducts.  Low antioxidant levels, Accurate predictor of mortality.  More dangerous if combined with high ferritin.",161,,,
,Alkaline Phosphatase,70 - 100,,,,,,"Refers to a group of isoenzymes that are found in the bone, liver, intestines, skin, and placenta.  Indicates how the liver is utilizing protein and fats, and pH balance.  (an enzyme found essentially in bone & liver.)",164,,,
,Total Bilirubin,0.2 - 1.2,,,,,,Bilirubin is the end product of hemoglobin breakdown from red blood cells.,167,,,
,Direct Bilirubin,<0.3,,,,,,The most sensitive test for liver function/dysfunction.,170,,,
,,,,,,,,,,,,
 , Thyroid,,,,,,,,,,,
,Marker,Target Range,Value,Delta from Target,Evaluation,,Weakness / Possibilities,Marker Description,Header Row,Row Match,Highlight,
,TSH,1.0 - 3.0,,,,,,A pituitary gland hormone that stimulates the thyroid gland to secrete additional T4 and some T3,172,,,
,"T4, TOTAL",6 - 12,,,,,,Reflects the total output of the thyroid gland and actual T4 hormone released.,175,,,
,"T4, free",1.0 – 1.5 ,,,,,,"The measure of active T4 in the blood but, must be converted to T3 to impact metabolism.",178,,,
,"T3, TOTAL",60-180,,,,,,T3 is the most active thyroid hormone which is largely protein–bound but not necessarily available for metabolic activity,181,,,
,"T3, free",3.5 – 4.5 ,,,,,,"This test measures the free or active T3 hormone (unbound) levels, which is the actual hormones that culminates in an increase in metabolism and energy.",184,,,
,TPO AB,0-34,,,,,,Check in cases of autoimmune thyroid disorders. ,187,,,
,TGB AB,0.0-0.9,,,,,,Check in cases of autoimmune thyroid disorders.  This antibody is associated with thyroid cancer.,189,,,
,"Reverse T3
Ratio to Free T3
",>1.6,,,,,,Made by the liver in a stress response to either block T3 function or get rid of excess unneeded T4.,191,,,
,,,,,,,,,,,,
 , Hormones,,,,,,,,,,,
,Marker,Target Range,Value,Delta from Target,Evaluation,,Weakness / Possibilities,Marker Description,Header Row,Row Match,Highlight,
,Estradiol (Male),20 - 25,,,,,,The biologically active form of estrogen.  Good marker for ovary function.,194,,,
,Estradiol (Female),25.8 – 60.7,,,,,,The biologically active form of estrogen.  Good marker for ovary function.,197,,,
,FSH,1.4 – 12.5,,,,,,FSH is produced by the pituitary gland. LH and FSH together stimulate the growth and maturation of the follicle and hence the biosynthesis of estrogen and progesterone.,200,,,
,DHEA-S,60.9 - 337.0,,,,,,Steroid hormone produced by the adrenal glands that acts as an intermediary in the production of gender hormones.,203,,,
,LH,1.7 - 8.6,,,,,,LH is produced by the pituitary gland. LH and FSH together stimulate the growth and maturation of the follicle and hence the biosynthesis of estrogen and progesterone.,206,,,
,SHBG,16 - 55,,,,,,Protein produced by the liver that bonds to hormones in the periphery.,209,,,
,"Testosterone, Total",249 - 836,,,,,,Measure of testosterone in the system that is bound and unbound.,212,,,
,Free Testosterone,9 - 30,,,,,,Measure of testosterone that is unbound.,215,,,
,Progesterone,0.2 - 1.4,,,,,,"Sex hormone involved in the menstrual cycle, pregnancy, and embryogenesis of humans and other species. ",218,,,
,,,,,,,,,,,,
 , CBC with Differential / Platelet,,,,,,,,,,,
,Marker,Target Range,Value,Delta from Target,Evaluation,,Weakness / Possibilities,Marker Description,Header Row,Row Match,Highlight,
,WBC,5.0 – 8.0,,,,,,"Leukocytes, found in bone marrow.  Protects body against infection and inflammation.",221,,,
,RBC (Male),4.2 – 4.9,,,,,,"Erythrocytes, relates to anemia.   Carries oxygen to the cells & carbon dioxide back to the lungs",224,,,
,RBC (Female),3.9 – 4.4,,,,,,"Erythrocytes, relates to anemia.   Carries oxygen to the cells & carbon dioxide back to the lungs",227,,,
,Hemoglobin (Male),14 - 15,,,,,,Part of your red blood cells that transport oxygen and carbon dioxide.  Related to the amount of intracellular iron.  ,230,,,
,Hemoglobin (Female),13.5 – 14.5,,,,,,Part of your red blood cells that transport oxygen and carbon dioxide.  Related to the amount of intracellular iron.  ,233,,,
,Hematocrit (Male),40 - 48,,,,,,"Percentage of red blood cells to whole blood (plasma).   Relates to abnormal state of hydration, also the spleen denoting the amount of blood cell breakdown.",236,,,
,Hematocrit (Female),37 – 44,,,,,,"Percentage of red blood cells to whole blood (plasma).   Relates to abnormal state of hydration, also the spleen denoting the amount of blood cell breakdown.",239,,,
,MCV,85 – 92 ,,,,,,Measures the average size of red blood cells.,242,,,
,MCH,27 – 32 ,,,,,,"A hemoglobin-RBC ratio, measures the average amount of hemoglobin in your red blood cells.  Relates to anemia.",245,,,
,MCHC,32 – 35%,,,,,,"A hemoglobin-RBC ratio, measures the average amount of hemoglobin in your red blood cells.  Relates to anemia.",248,,,
,RDW,<13,,,,,,Indicator of red blood cell size.,251,,,
,Platelets,"50,000 – 450,000",,,,,,Cells in blood that form clots.  ,253,,,
,Neutrophils,40 – 60%,,,,,,"Amount of infection fighting capacity.  The ""good guys"".",256,,,
,Lymphocytes,25 – 40%,,,,,,Aids in the destruction and handling of body toxins & by-products of protein metabolism.  Relates to the healing process.,259,,,
,Monocytes,<7%,,,,,,Formed in the spleen and bone marrow they can ingest and digest large bacteria.  Relates to normal tissue breakdown by the liver. ,262,,,
,Eosinophils,<3%,,,,,,"Responsible for the protection and preservation of life via the immunologic response. Relates to Infections, inflammations, disease, and allergies.",264,,,
,Basophils,0 - 1,,,,,,"Involved in deep membrane allergies.  Relates to the immune response, inflammation, and gastrointestinal tract.",266,,,
,Immature Granulocytes,<2.1,,,,,,The presence of immature white blood cells.,268,,,
,Immature Granulocyte Count,<0.100,,,,,,The presence of immature white blood cells.,270,,,
,MPV (Mean Platelet Volume),9.4 - 12.3,,,,,,Average size of platelets found in the blood.,272,,,
,Nucleated RBC Count,<0.012,,,,,,Immature Red Blood Cells.,275,,,
,Nucleated RBC %,<0.2,,,,,,Immature Red Blood Cells.,277,,,
,,,,,,,,,,,,
 ," Ominous Markers (If three or more of these are present, need to be concerned for the presence of 'serious' disease)",,,,,,,,,,,
, None,,,,,,,,,,,
